county_gid_3,county_name_3,prefecture_name_2,province_name_1,has_zone,n_zones,latitude_wgs84,longitude_wgs84,centroid_method,dist_to_coastal_port_km,nearest_coastal_port,dist_to_inland_port_km,nearest_inland_port,nightlights_2013,nightlights_2014,nightlights_2015,nightlights_2016,nightlights_2017,nightlights_2018,nightlights_2019,nightlights_2020,nightlights_2021,nightlights_2022,nightlights_2023,nightlights_2024,nightlights_pre_designation_year,nightlights_pre_designation,nightlights_post_designation_year,nightlights_post_designation,nightlights_change_post_minus_pre,纬度_WGS84,经度_WGS84,dist_to_coast_km,pop_density_at_point,pop_density_buffer_mean,pop_density_buffer_sum,built_1990_at_point,built_1990_buffer_mean,built_1990_buffer_sum,built_2000_at_point,built_2000_buffer_mean,built_2000_buffer_sum,built_2010_at_point,built_2010_buffer_mean,built_2010_buffer_sum,built_2015_at_point,built_2015_buffer_mean,built_2015_buffer_sum,built_2020_at_point,built_2020_buffer_mean,built_2020_buffer_sum,forest_treecover2000_buffer_mean,forest_loss_total_buffer_sum,forest_loss_pre_designation,forest_loss_post_designation,forest_loss_post_minus_pre
CHN.8.8.1_1,Dejiang,Tongren,Guizhou,1,1,28.319029809000085,108.07649881500797,representative_point,742.951,防城港港,207.911,重庆港,0.4290626550874616,0.4564769586767573,0.3781898048903493,0.4598389217539678,0.9102165370025068,0.692098210098503,0.4979989179351219,0.4386348095324184,0.4161026218124308,0.5195903347446013,0.6174820101404048,0.6356522675101217,,,,,,28.319029809000085,108.07649881500797,706.965,,46.9869,20251.3599,3536.0,1265.03,126503.0,3547.0,2102.46,210246.0,3574.0,5219.4,521940.0,3802.0,7317.48,731748.0,5539.0,10389.62,1038962.0,7.0728,365.0,,,
CHN.8.8.2_1,Jiangkou,Tongren,Guizhou,0,0,27.713128090000083,108.77249704429111,representative_point,676.644,防城港港,303.704,重庆港,0.0314041787055949,0.075564624920183,0.0539750290668453,0.0700594077451658,0.1100580068867525,0.1448456267541321,0.0651913352807141,0.0811888159898152,0.0873354867987234,0.0682086943116407,0.0665254420781191,0.1037723336359235,,,,,,27.713128090000083,108.77249704429111,638.504,,14.0734,3265.0287,0.0,646.12,64612.0,0.0,1442.02,144202.0,0.0,3023.09,302309.0,0.0,3891.41,389141.0,0.0,4636.49,463649.0,47.8587,1665.0,,,
CHN.8.8.3_1,Shiqian,Tongren,Guizhou,0,0,27.50061607400008,108.18543187377516,representative_point,651.957,防城港港,286.913,重庆港,0.879896965683961,0.8421811724245846,1.2846979590492933,1.6992383635682216,1.5841532915482974,1.53070700532302,1.2265690714139188,1.1068190944825784,1.3756458421919049,1.4606514919811646,1.6965637991816511,1.696653109243022,,,,,,27.50061607400008,108.18543187377516,615.76,,97.388,45285.4244,0.0,5474.419,574814.0,0.0,7503.4476,787862.0,0.0,11728.2476,1231466.0,0.0,14342.619,1505975.0,0.0,18564.5333,1949276.0,11.1716,2331.0,,,
CHN.8.8.4_1,Sinan,Tongren,Guizhou,1,1,27.839916229500147,108.09956821086774,representative_point,689.808,防城港港,250.837,重庆港,0.0801740337089868,0.0873765760569604,0.0982699502723046,0.143775546489669,0.1321628833684349,0.1578712535055715,0.1394025317058577,0.129739432520647,0.1593220923897048,0.1473434472956633,0.1826449820112697,0.1905826934656915,,,,,,27.839916229500147,108.09956821086774,653.842,,34.1709,6458.3037,1656.0,1932.5882,197124.0,1669.0,3056.8431,311798.0,1692.0,4473.4216,456289.0,1725.0,5399.5196,550751.0,1836.0,6731.598,686623.0,5.9324,1550.0,,,
CHN.8.8.5_1,Songtao Miao,Tongren,Guizhou,1,1,28.16802501700008,109.1704395312837,representative_point,730.415,防城港港,300.481,重庆港,3.138654997940425,2.521929891286917,1.6137865428023306,3.902830425213948,4.704681741555772,3.962267092341631,3.4164677811853106,3.2597266493406387,3.5741874439449006,3.4281773471192505,3.40635064201766,4.487169668735531,,,,,,28.16802501700008,109.1704395312837,691.225,,32.3204,47090.8905,2626.0,5108.6337,515972.0,3719.0,8361.0792,844469.0,30781.0,18847.4455,1903592.0,49930.0,27084.0,2735484.0,62145.0,39372.1584,3976588.0,8.9793,9657.0,,,
CHN.8.8.6_1,Tongren,Tongren,Guizhou,1,2,27.66247940100004,109.19719585341208,representative_point,675.142,防城港港,337.539,重庆港,1.6298983016520423,1.64587791827776,1.817477885129192,3.1203934710254178,3.02373981694675,4.278786632655183,4.3363426585820015,5.590450651990275,4.708191678570928,3.564390121559964,3.4175346640849007,3.186013046724628,,,,,,27.66247940100004,109.19719585341208,635.707,6.3922,7.4587,71439.4485,6.0,2989.8679,316926.0,8.0,7443.5,789011.0,17.0,13107.9623,1389444.0,21.0,17305.4434,1834377.0,23.0,24714.8774,2619777.0,18.1229,8774.0,,,
CHN.8.8.7_1,Wanshan Special,Tongren,Guizhou,0,0,27.52254486050009,109.24222322751314,representative_point,660.379,防城港港,351.373,重庆港,0.4317401710810295,0.372500134220824,0.341334748254998,0.3629228957335625,0.365587098652144,0.3995721084170183,0.3813516891809477,0.2825614442171141,0.3246090096735257,0.3207004334438779,0.3163393916327728,0.2979254552829878,,,,,,27.52254486050009,109.24222322751314,620.762,,16.8184,9670.5728,0.0,2826.1078,288263.0,0.0,3534.8725,360557.0,0.0,5071.9412,517338.0,0.0,6004.3039,612439.0,0.0,6607.4118,673956.0,29.7503,2158.0,,,
CHN.8.8.8_1,Yanhe Tujia,Tongren,Guizhou,1,1,28.650391578000068,108.26283948223424,representative_point,779.212,防城港港,197.018,重庆港,0.0,0.0006680876055529,0.003767164774315,0.0006332861297379,0.0008459918537826,0.004152233628264,0.001463474299749,0.0,0.0009348821328187,0.0,0.0,0.0,,,,,,28.650391578000068,108.26283948223424,742.631,,25.9023,25.9023,784.0,248.02,24802.0,784.0,265.53,26553.0,784.0,292.03,29203.0,786.0,320.64,32064.0,798.0,462.37,46237.0,11.6031,318.0,,,
CHN.8.8.9_1,Yinjiang Tujia and Miao,Tongren,Guizhou,1,1,27.96914005350009,108.54338036977904,representative_point,703.935,防城港港,267.6,重庆港,0.0,0.0,0.0031041402260847,0.0185363690017737,0.016575176120103,0.0223989786366883,0.0173528487340132,0.024227820142434,0.0342565524532298,0.0235607920235378,0.024461494625879,0.0723586135442615,,,,,,27.96914005350009,108.54338036977904,666.558,,71.1592,853.9107,1014.0,578.7576,57297.0,1062.0,673.2828,66655.0,1427.0,820.9798,81277.0,3041.0,1118.8081,110762.0,6260.0,1969.5657,194987.0,25.8351,1649.0,,,
CHN.8.8.10_1,Yuping Dong,Tongren,Guizhou,1,1,27.32567310350012,108.94986775463208,representative_point,635.272,防城港港,347.375,重庆港,0.3099963680904274,0.2986023555613445,0.2394486951681931,0.4468696137978447,0.6607607835140086,0.6930234818294406,0.5594950018514062,0.4373437823239687,0.5775223630681222,0.6462858649627964,0.6263575557806224,0.5493075169570407,,,,,,27.32567310350012,108.94986775463208,596.471,3.7927,4.6565,19128.8758,3316.0,1957.0099,197658.0,4404.0,3109.4059,314050.0,5458.0,6045.2079,610566.0,5986.0,8459.3168,854391.0,7409.0,13322.3465,1345557.0,4.5456,7113.0,,,
CHN.8.9.1_1,Chishui,Zunyi,Guizhou,0,0,28.507761955500115,105.91516879477804,representative_point,801.838,防城港港,56.144,泸州港,0.090998037613848,0.0163305730739764,0.0838387148233625,0.1159488263318356,0.1925642817600955,0.4066839862473044,0.2646895402170097,0.1223164422728383,0.138646108838045,0.1246284809958632,0.0571229298243797,0.0822584040712941,,,,,,28.507761955500115,105.91516879477804,771.419,,18.591,22309.1854,470.0,265.85,26585.0,470.0,355.9,35590.0,582.0,577.0,57700.0,633.0,715.57,71557.0,672.0,984.88,98488.0,49.8447,1501.0,,,
CHN.8.9.2_1,Daozhen Gelao and Miao,Zunyi,Guizhou,0,0,28.91521453850004,107.6206926064804,representative_point,811.837,防城港港,129.717,重庆港,0.6858451355606304,0.7442522336013726,0.8977931732794902,0.9489181065044678,0.989934203149261,0.9441103697720412,1.0609933002920455,1.1978955063401908,1.3182793106882351,1.545697569740535,1.3114628581298884,1.6079677989713748,,,,,,28.91521453850004,107.6206926064804,776.949,,501.7868,126450.2748,3917.0,4196.35,419635.0,4144.0,5857.84,585784.0,4183.0,9636.73,963673.0,4219.0,11980.25,1198025.0,4328.0,14071.67,1407167.0,14.0305,2178.0,,,
CHN.8.9.3_1,Fenggang,Zunyi,Guizhou,0,0,27.94864654600005,107.78034603202909,representative_point,703.75,防城港港,223.773,重庆港,0.1035012623668115,0.0782337690385163,0.0600015804070986,0.0656969027805671,0.1214320643744472,0.1420684196708845,0.1019191260048861,0.1183732451601673,0.1493069607896259,0.1582849834084107,0.2141158987318971,0.1747621644268717,,,,,,27.94864654600005,107.78034603202909,668.753,,18.0775,813.488,110.0,482.9709,49746.0,110.0,507.2039,52242.0,115.0,532.0583,54802.0,117.0,650.7573,67028.0,121.0,1366.8447,140785.0,16.3046,516.0,,,
CHN.8.9.4_1,Meitan,Zunyi,Guizhou,1,1,27.77196025900011,107.51541145323996,representative_point,687.015,防城港港,229.869,重庆港,1.8571039439141928,1.720266144010952,1.3687353681163923,2.2963128254956486,4.115252476773641,3.6603790855637888,3.215532305111698,3.3098140710005053,3.108220719281725,3.0964669450039093,3.1281736854576176,2.919449708238177,,,,,,27.77196025900011,107.51541145323996,652.736,14.2954,20.4212,57996.2591,113.0,5152.44,515244.0,113.0,8924.21,892421.0,499.0,16236.39,1623639.0,1799.0,20882.94,2088294.0,7801.0,25666.94,2566694.0,9.4926,1990.0,,,
CHN.8.9.5_1,Renhuai,Zunyi,Guizhou,1,1,27.857492448000045,106.42612167735987,representative_point,718.123,防城港港,141.445,泸州港,1.6595029744829637,1.2577109262055697,1.30588207393079,2.0117695219792773,1.9875453542197243,2.0638079782830903,1.974081987619972,2.463907818858437,2.1837757458236866,2.610726556021277,3.2185903252529933,2.9652235597254126,,,,,,27.857492448000045,106.42612167735987,686.91,16.1589,15.012,71712.3689,7497.0,7579.7327,765553.0,11436.0,12237.3564,1235973.0,59185.0,19980.2079,2018001.0,89672.0,24924.5446,2517379.0,97159.0,30681.9604,3098878.0,15.7777,2496.0,,,
CHN.8.9.6_1,Suiyang,Zunyi,Guizhou,1,1,28.15557289100005,107.2191705655996,representative_point,733.265,防城港港,179.823,重庆港,0.0009817736108442,6.353689087901948e-05,0.0,0.0031410979600714,0.0039043032206123,0.0050997890119802,0.0014287303322207,0.0014885678258403,0.0006455899521305,0.000106673668854,0.0001133339162578,0.0,,,,,,28.15557289100005,107.2191705655996,699.577,,11.3192,5512.4687,0.0,470.1154,48892.0,0.0,539.2788,56085.0,0.0,1072.1827,111507.0,0.0,1373.4423,142838.0,0.0,1657.4904,172379.0,33.8291,303.0,,,
CHN.8.9.7_1,Tongzi,Zunyi,Guizhou,1,1,28.424639702500144,106.85618802793988,representative_point,769.039,防城港港,142.122,重庆港,0.0982985490859377,0.2497744210034417,0.1412590488117558,0.1296617204884635,0.1176859337395977,0.2686785304030497,0.1917670867294647,0.1700043623762935,0.1884678366023712,0.1838066096901873,0.1939543296616801,0.3300679505695658,,,,,,28.424639702500144,106.85618802793988,736.133,,28.2832,2771.751,0.0,1105.9804,112810.0,0.0,1380.5784,140819.0,0.0,1873.2157,191068.0,0.0,2217.0784,226142.0,0.0,2938.1569,299692.0,29.0073,1338.0,,,
CHN.8.9.8_1,Wuchuan Gelao and Miao,Zunyi,Guizhou,0,0,28.630950928500084,107.90509985181006,representative_point,778.3,防城港港,171.491,重庆港,0.0,0.0017544411654924,0.012049703849208,0.159355621713772,0.2671321185959412,0.2983939954918874,0.1520053284168586,0.2052924045316911,0.2328272682432186,0.1764831424948044,0.1307545940500779,0.1090735862087191,,,,,,28.630950928500084,107.90509985181006,742.893,,63.3844,10965.4992,0.0,482.0,49646.0,0.0,512.6019,52798.0,0.0,723.5825,74529.0,0.0,1090.7573,112348.0,0.0,2361.4854,243233.0,15.6419,556.0,,,
CHN.8.9.9_1,Xishui,Zunyi,Guizhou,1,1,28.474237442500083,106.38545952925486,representative_point,785.033,防城港港,99.207,泸州港,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.474237442500083,106.38545952925486,753.342,,23.4846,2865.1249,109.0,184.4158,18626.0,109.0,204.3069,20635.0,123.0,251.8911,25441.0,130.0,359.901,36350.0,136.0,846.8614,85533.0,50.2733,341.0,,,
CHN.8.9.10_1,Yuqing,Zunyi,Guizhou,1,1,27.41272258800018,107.62892533368532,representative_point,646.144,防城港港,263.859,泸州港,0.1780073296657169,0.1473775006422344,0.2665647498492871,0.2511414454943436,0.1761477158040765,0.1360766947226745,0.0626737744376263,0.0493238377118679,0.1382928358286255,0.20216555889035,0.2053119209680236,0.1506416876822612,,,,,,27.41272258800018,107.62892533368532,611.707,,39.1693,9948.999,47.0,440.5051,43610.0,47.0,529.0606,52377.0,56.0,794.2222,78628.0,283.0,1045.4343,103498.0,1458.0,1448.697,143421.0,25.73,2091.0,,,
CHN.8.9.11_1,Zheng'an,Zunyi,Guizhou,1,1,28.507090569000127,107.35310119055754,representative_point,769.867,防城港港,149.273,重庆港,0.0,0.0,0.0,0.0076147408162749,0.0013534305863835,0.0093733580681017,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.507090569000127,107.35310119055754,735.693,,27.701,3628.8349,0.0,411.1919,40708.0,0.0,463.3333,45870.0,0.0,584.4747,57863.0,0.0,677.8485,67107.0,0.0,823.596,81536.0,20.067,592.0,,,
CHN.8.9.12_1,Zunyi Shì,Zunyi,Guizhou,1,1,27.71396350900008,106.9194396987763,representative_point,690.711,防城港港,187.917,泸州港,12.045831208652125,11.969900754383506,12.41612371561786,14.933039562909803,14.980517836294828,15.772147833790694,14.11686029305692,12.150641197653368,12.786376687073352,12.340409541888793,12.81929119300392,13.156994261868736,,,,,,27.71396350900008,106.9194396987763,658.137,39.9263,37.9517,376822.6813,192355.0,60112.6337,6071376.0,239409.0,82183.9406,8300578.0,278921.0,103652.0891,10468861.0,299795.0,114954.5248,11610407.0,305307.0,121318.6139,12253180.0,4.0291,687.0,,,
CHN.8.9.13_1,Zunyi Xiàn,Zunyi,Guizhou,1,2,27.64595317850015,107.133816582133,representative_point,679.089,防城港港,209.169,泸州港,0.2274819195624734,0.313961954401429,0.1254265792019562,0.3293211040535468,0.3648805102652626,0.2122100846027557,0.1710193549879908,0.2060493014034987,0.156291377007651,0.0982052785887719,0.0957514345785718,0.1467459421247264,,,,,,27.64595317850015,107.133816582133,645.933,,16.5153,18728.3107,241.0,1232.1827,128147.0,265.0,1597.375,166127.0,279.0,2529.125,263029.0,287.0,3358.0865,349241.0,299.0,4838.7788,503233.0,8.4914,788.0,,,
CHN.9.1.1_1,Haikou,Haikou,Hainan,1,3,20.006166772500023,110.25362649701084,representative_point,8.814,海口港,348.856,贵港港,15.64306513030188,16.213237452595713,18.116681489853733,19.97020150569534,22.46254876678549,21.42065028449267,20.56294218154273,19.6242192672046,21.461714902838512,20.914288482514284,21.43881341662466,23.144107919806,,,,,,20.006166772500023,110.25362649701084,3.085,173.7714,92.9758,481986.56,32614.0,42522.9798,4209775.0,186785.0,83267.0,8243433.0,248201.0,114859.8182,11371122.0,282365.0,131717.2323,13040006.0,290712.0,139331.7071,13793839.0,4.7122,3364.0,,,
CHN.9.1.2_1,Qiongshan,Haikou,Hainan,0,0,19.80642850000009,110.43223206072643,representative_point,37.5,海口港,374.34,贵港港,0.2889580827827961,0.3853806932973013,0.2615612651259993,0.1662791541209351,0.2533154742213795,0.230925562797537,0.1224688354988518,0.1838251017514918,0.3343875908434967,0.2920041488856217,0.2655985926772236,0.2529378643177374,,,,,,19.80642850000009,110.43223206072643,13.039,,19.3364,12916.7338,0.0,4073.3333,415480.0,0.0,4749.6961,484469.0,0.0,6153.3431,627641.0,271.0,7006.5294,714666.0,271.0,7648.549,780152.0,16.1668,9027.0,,,
CHN.9.2.1_1,Baisha Li,Hainan,Hainan,0,0,19.21301918150016,109.36880908413038,representative_point,126.027,海口港,412.361,南宁港,0.0020829375188298,0.0011422222246135,0.0013953909526839,0.0,0.0016964484072566,0.0020974304513338,0.0050798041441807,0.034162184329609,0.0279813786008712,0.0233189268021597,0.0269192905612503,0.0231734573598381,,,,,,19.21301918150016,109.36880908413038,53.228,,17.4108,992.4152,0.0,1458.703,147329.0,0.0,1633.7921,165013.0,0.0,1793.6436,181158.0,0.0,1864.7921,188344.0,0.0,1896.5248,191549.0,51.9938,18429.0,,,
CHN.9.2.2_1,Baoting Li,Hainan,Hainan,0,0,18.71514988000009,109.56054321188846,representative_point,161.597,海口港,470.8,南宁港,0.4793435890948452,0.4742567935630708,0.3829873304466153,0.2989490985691717,0.425786453581715,0.4472959646442464,0.4780984672802735,0.5301705378034351,0.522911427380693,0.6059780260971699,0.8166337429514883,0.6999992603950828,,,,,,18.71514988000009,109.56054321188846,40.403,,16.41,9878.8243,146.0,2548.9184,249794.0,155.0,3125.0408,306254.0,168.0,4368.3163,428095.0,173.0,5203.7449,509967.0,179.0,6549.7959,641880.0,40.3965,12994.0,,,
CHN.9.2.3_1,Changjiang Li,Hainan,Hainan,0,0,19.19376945550013,109.04225082313658,representative_point,152.674,海口港,407.221,南宁港,0.4826437497744024,0.592206043360302,0.5394997041463658,0.3846969857913246,0.4500125566567779,0.3282230158678603,0.340549780656016,0.4121380253941519,0.4465551678209419,0.5780684857258482,0.5109106571499712,0.503116284637473,,,,,,19.19376945550013,109.04225082313658,34.565,,16.9023,4732.6387,0.0,805.1224,78902.0,0.0,1092.3673,107052.0,0.0,1410.9184,138270.0,0.0,1703.9592,166988.0,4.0,2016.0816,197576.0,44.4121,15892.0,,,
CHN.9.2.4_1,Chengmai,Hainan,Hainan,1,1,19.694061565500107,110.03616793327788,representative_point,42.309,海口港,379.613,贵港港,0.5000781826443638,0.5377735111769505,0.6575757079507953,0.5949377374628005,0.8494013962733868,0.7928881364544319,0.7093823324300432,0.9141520715435036,1.014080841256079,0.8114965606003688,0.904474665216256,0.9268320779241092,,,,,,19.694061565500107,110.03616793327788,23.948,,8.4256,60647.647,15472.0,22026.0202,2180576.0,16111.0,23865.9091,2362725.0,16788.0,26571.8586,2630614.0,17064.0,28200.0505,2791805.0,17082.0,30480.3737,3017557.0,7.5672,13563.0,,,
CHN.9.2.5_1,Danzhou,Hainan,Hainan,1,1,19.55125150000015,109.36955769315595,representative_point,101.578,海口港,376.243,南宁港,0.178833142511385,0.1870085737531391,0.1491390554432986,0.1154393646865419,0.1764695970811013,0.1190545970284694,0.155643768986786,0.7920424859903318,1.209017204836847,1.1063914494235474,0.935811892836392,0.8404686239270589,,,,,,19.55125150000015,109.36955769315595,18.861,,12.7973,9546.7952,4390.0,5168.5743,522026.0,4606.0,5466.5248,552119.0,4961.0,6003.9208,606396.0,5107.0,6273.3168,633605.0,6361.0,6511.1683,657628.0,34.278,18968.0,,,
CHN.9.2.6_1,Ding An,Hainan,Hainan,0,0,19.47199904800001,110.38640299063636,representative_point,67.433,海口港,409.556,贵港港,0.1506337668917189,0.1141307088041772,0.0330271623383078,0.0527897419195198,0.2150042597673374,0.2918791473800983,0.1572980700005155,0.1408985506474413,0.1838643543543551,0.169750289419354,0.1857079838120837,0.1593932611798045,,,,,,19.47199904800001,110.38640299063636,31.384,,7.0687,3781.7809,2341.0,4378.23,437823.0,2371.0,5075.62,507562.0,2396.0,5809.42,580942.0,2409.0,6278.7,627870.0,2416.0,6847.5,684750.0,20.9539,11418.0,,,
